no_curso	no_grau	no_turno	no_campus	sg_uf_campus	no_municipio_campus	no_ies	sg_ies	co_concorrencia	tp_mod_concorrencia	no_concorrencia	qt_vagas	qt_vagas_concorrencia	nu_nota_corte
ADMINISTRAÇÃO	Bacharelado	Noturno	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	770.14
ARQUITETURA E URBANISMO	Bacharelado	Vespertino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	812.62
ARTES VISUAIS	Licenciatura	Noturno	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	720.19
CIÊNCIA DA COMPUTAÇÃO	Bacharelado	Noturno	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	798.34
CIÊNCIAS AMBIENTAIS	Bacharelado	Vespertino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	740.18
CIÊNCIAS BIOLÓGICAS	Licenciatura	Integral	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	6	6	771.24
CIÊNCIAS BIOLÓGICAS	Bacharelado	Integral	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	6	6	798.12
CIÊNCIAS SOCIAIS	Bacharelado	Vespertino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	7	7	759.91
DIREITO	Bacharelado	Noturno	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	850.03
EDUCAÇÃO FÍSICA	Licenciatura	Matutino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	745.85
ENFERMAGEM	Bacharelado	Integral	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	822.14
ENGENHARIA CIVIL	Bacharelado	Noturno	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	823.85
ENGENHARIA ELÉTRICA	Bacharelado	Vespertino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	814.42
FARMÁCIA	Bacharelado	Integral	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	788.93
FÍSICA	Licenciatura	Vespertino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	750.79
FISIOTERAPIA	Bacharelado	Integral	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	819.36
GEOGRAFIA	Bacharelado	Vespertino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	8	8	717.86
GEOGRAFIA	Licenciatura	Noturno	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	8	8	726.12
HISTÓRIA	Licenciatura	Noturno	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	10	10	729.17
HISTÓRIA	Licenciatura	Vespertino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	10	10	748.85
JORNALISMO	Bacharelado	Noturno	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	766.39
LETRAS - PORTUGUÊS E FRANCÊS	Licenciatura	Matutino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	7	7	740.23
LETRAS - PORTUGUÊS E INGLÊS	Licenciatura	Vespertino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	7	7	804.79
MEDICINA	Bacharelado	Integral	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	15	15	907.73
PEDAGOGIA	Licenciatura	Matutino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	721.27
QUÍMICA	Licenciatura	Noturno	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	732.94
RELAÇÕES INTERNACIONAIS	Bacharelado	Vespertino	AP	Macapá	UNIFAP	UNIVERSIDADE FEDERAL DO AMAPÁ	CAMPUS MARCO ZERO - UNIFAP	0	A	Ampla concorrência	12	12	682.74
